state,value
Alabama,723
Alaska,124
Arkansas,356
Arizona,1211
California,4512
Colorado,899
Connecticut,623
Delaware,189
District of Columbia,0
Florida,2634
Georgia,1206
Hawaii,157
Iowa,264
Idaho,212
Illinois,1705
Indiana,1172
Kansas,332
Kentucky,1077
Louisiana,777
Maine,216
Maryland,1070
Massachusetts,1289
Michigan,1762
Minnesota,517
Missouri,1067
Mississippi,336
Montana,125
North Carolina,1358
North Dakota,43
Nebraska,125
New Hampshire,334
New Jersey,1253
New Mexico,547
Nevada,545
New York,2300
Ohio,2744
Oklahoma,777
Oregon,522
Pennsylvania,2732
Rhode Island,247
South Carolina,701
South Dakota,63
Tennessee,1269
Texas,2601
Utah,603
Virginia,980
Vermont,83
Washington,979
Wisconsin,853
West Virginia,627
Wyoming,109
